Word Pair,Quantum Correlation,CHSH Conf. 1,CHSH Conf. 2,CHSH Conf. 3,CHSH Conf. 4
pato-plástico,{'Quantum Correlation': (0.0083531805512128+3.877409121342317e-26j)},1.903,1.349,1.552,2.107
salta-monte,{'Quantum Correlation': (0.009163033786756824-6.058451752097371e-27j)},2.11,1.88,1.741,1.971
gil-pollas,{'Quantum Correlation': (0.0028235863248038395+3.715850407953054e-26j)},1.992,1.995,2.007,2.005
buen-samaritano,{'Quantum Correlation': (0.005630744360861921-3.715850407953054e-26j)},1.972,1.972,1.973,1.972
lluvia-ideas,{'Quantum Correlation': (0.0002370603280359568-6.765271123175397e-27j)},1.669,2.142,1.755,1.282
inglaterra-arturo,{'Quantum Correlation': (0.047153293289140925-1.0985992510469899e-25j)},1.432,2.113,1.398,0.718
abre-latas,{'Quantum Correlation': (0.025039881383075568+1.1955344790805478e-25j)},2.093,2.038,1.871,1.926
corta-uñas,{'Quantum Correlation': (0.24611008597595307-1.1309109937248425e-26j)},2.014,2.035,1.983,1.962
sangre-azul,{'Quantum Correlation': (0.0046326752140987745-2.261821987449685e-26j)},2.043,1.792,1.917,2.167
corazón-partido,{'Quantum Correlation': (0.0002606300679881432+1.857925203976527e-26j)},1.779,1.37,1.843,2.252
parar-rayos,{'Quantum Correlation': (0.008591020110289373-9.370405376577267e-26j)},1.949,2.039,1.933,1.844
pata-palo,{'Quantum Correlation': (0.053584461951700676+5.169878828456423e-26j)},1.826,1.978,2.039,1.887
pasar-tiempo,{'Quantum Correlation': (0.03029138327038244+1.7771458472818954e-26j)},0.737,0.546,2.004,2.195
col-flor,{'Quantum Correlation': (0.04226210559713503+9.693522803355793e-26j)},2.019,1.89,1.954,2.084
salva-vidas,{'Quantum Correlation': (0.09661629162361679+2.0679515313825692e-25j)},1.68,1.947,2.23,1.963
limpia-parabrisas,{'Quantum Correlation': (0.020139701649832184+5.573775611929581e-26j)},1.383,2.128,2.284,1.539
rompe-olas,{'Quantum Correlation': (0.01930067697521405+3.42504472385238e-25j)},1.982,2.07,1.974,1.886
caza-fantasmas,{'Quantum Correlation': (0.018723593695381662-1.1147551223859162e-25j)},1.618,0.819,1.594,2.393
cabeza-cuadrada,{'Quantum Correlation': (0.02110870037333587+3.2311742677852644e-26j)},1.314,2.208,2.033,1.139
luna-llena,{'Quantum Correlation': (0.04654553743044307+0j)},1.126,2.322,1.771,0.575
corre-caminos,{'Quantum Correlation': (0.19030486074271652+8.756482265698066e-25j)},1.505,2.089,2.114,1.53
mano-negra,{'Quantum Correlation': (0.07549427522727116+4.362085261510107e-26j)},0.98,2.122,1.349,0.206
gato-hidráulico,{'Quantum Correlation': (0.003655970508236033-4.8467614016778965e-27j)},2.216,1.966,1.424,1.673
quita-nieves,{'Quantum Correlation': (0.014590789105000822-6.462348535570529e-26j)},1.523,2.252,2.203,1.474
porta-folio,{'Quantum Correlation': (0.01161833449696445+4.362085261510107e-26j)},1.72,2.153,2.006,1.573
espanta-pájaros,{'Quantum Correlation': (0.03719173795712767-8.401053096241687e-26j)},1.849,1.85,1.846,1.845
tela-araña,{'Quantum Correlation': (0.011090015109257088+4.52364397489937e-26j)},1.722,2.074,1.692,1.34
cuelga-muros,{'Quantum Correlation': (0.0768170877476661-3.877409121342317e-26j)},2.196,1.83,1.526,1.892
corta-fuegos,{'Quantum Correlation': (0.04050022246133812-3.877409121342317e-26j)},1.915,1.7,1.88,2.095
lava-vajillas,{'Quantum Correlation': (0.024841348241809384-7.754818242684634e-26j)},2.054,0.413,0.104,1.745
caza-mariposas,{'Quantum Correlation': (0.17260417357885233+7.108583389127582e-26j)},1.495,2.374,2.021,1.142
pez-globo,{'Quantum Correlation': (0.03347819805761772+8.401053096241687e-26j)},1.432,1.872,1.844,1.403
cine-mudo,{'Quantum Correlation': (0.2795594309403988+1.6155871338926322e-26j)},1.945,1.985,2.035,1.995
rey-mago,{'Quantum Correlation': (0.008457125816297493-9.128067306493372e-26j)},1.807,1.544,1.798,2.06
ratón-pérez,{'Quantum Correlation': (0.0028140839191670122+4.2005265481208437e-26j)},1.678,0.464,0.364,1.579
reloj-arena,{'Quantum Correlation': (0.013220009079612011-1.0985992510469899e-25j)},2.119,1.682,1.731,2.168
luna-miel,{'Quantum Correlation': (0.0018246364668010589+3.2311742677852644e-27j)},0.67,1.379,1.379,0.67
casa-rural,{'Quantum Correlation': (0.053962307811954144+3.554291694563791e-26j)},2.008,1.307,1.363,2.064
perro-guía,{'Quantum Correlation': (0.024745597745733552-7.431700815906108e-26j)},1.07,1.765,1.636,0.941
botón-rojo,{'Quantum Correlation': (0.014148538924359116-8.401053096241687e-26j)},2.087,1.946,1.787,1.928
lámpara-genio,{'Quantum Correlation': (0.04788255239992634-8.077935669463161e-27j)},1.704,0.405,0.586,1.885
bandera-blanca,{'Quantum Correlation': (0.24867547438831214-1.6802106192483375e-25j)},2.0,1.316,1.585,2.269
coche-bomba,{'Quantum Correlation': (0.10099388047452969+1.9387045606711586e-26j)},1.503,1.328,1.31,1.484
