Word Pair,a_in_A & b_in_B (Entangled 1),a_in_A & b_in_B (Entangled 2),a_in_B & b_in_A (Entangled 1),a_in_B & b_in_A (Entangled 2),a_in_A & b_in_A (Entangled 1),a_in_A & b_in_A (Entangled 2),a_in_B & b_in_B (Entangled 1),a_in_B & b_in_B (Entangled 2),QcorrelationAB,QcorrelationBA,CHSH Conf. 1,CHSH Conf. 2,CHSH Conf. 3,CHSH Conf. 4,Cosine Similarity,CHSH Violation,Max Violation
pato-plástico,1.003,0.001,0.003,1.005,0.051,0.032,0.055,0.035,(0.015658517866638764+2.261821987449685e-26j),(0.015658517866638733-1.7448341046040428e-25j),1.009,2.005,1.004,0.004,0.08219892973980254,True,0.004149020734149036
salta-monte,1.007,0.008,0.009,1.015,0.094,0.095,0.095,0.082,(0.02750181851409981+3.2311742677852644e-26j),(0.027501818514099646+9.04728794979874e-26j),1.017,2.009,1.036,0.018,0.2705115368101167,False,0.017604252645974157
gil-pollas,1.001,0.0,0.0,1.002,0.032,0.004,0.011,0.005,(0.015009824192336037-7.916376956073898e-26j),(0.015009824192336043+4.2005265481208437e-26j),0.981,2.001,1.0,0.0,0.12113668296873568,True,0.004634750823804703
buen-samaritano,0.998,0.005,0.008,1.004,0.088,0.073,0.089,0.074,(0.022440960134232513+2.5849394142282115e-26j),(0.022440960134232538+8.239494382852424e-26j),1.006,2.016,1.008,0.013,0.21891018896774908,False,0.011601966237816105
lluvia-ideas,1.009,0.0,0.0,0.983,0.021,0.014,0.023,0.004,(0.005675390722006887-3.069615554396001e-26j),(0.005675390722006891-4.2005265481208437e-26j),1.011,2.02,0.993,0.001,0.10050239686528262,False,0.01862264053871119
inglaterra-arturo,1.011,0.086,0.099,1.006,0.318,0.303,0.314,0.287,(0.07992272706246698+6.462348535570529e-27j),(0.07992272706246695-7.108583389127582e-26j),1.105,2.005,1.108,0.19,0.2868486448074378,False,0.017329385617954673
abre-latas,1.0,0.267,0.358,0.998,0.589,0.569,0.608,0.468,(0.15403294698128736-5.2506581851510546e-27j),(0.15403294698128725+6.462348535570529e-26j),1.376,1.996,1.366,0.696,0.566238877103906,True,0.00247644163312149
corta-uñas,1.0,0.68,0.972,1.002,0.982,0.78,0.99,0.875,(0.2568705132470177-3.3927329811745276e-26j),(0.25687051324701743-1.5267298415285374e-25j),1.98,1.999,1.587,1.567,0.6146734521234486,True,0.00342738097224884
sangre-azul,1.001,0.0,0.0,1.0,0.01,0.012,0.027,0.009,(0.009139666050903512+2.5849394142282115e-25j),(0.00913966605090348+1.6155871338926322e-26j),1.019,2.004,1.003,0.001,-0.07153416104725387,True,0.0022350259155506187
corazón-partido,1.0,0.001,0.003,1.0,0.057,0.022,0.047,0.058,(0.015925023813544527-5.169878828456423e-26j),(0.015925023813544485+6.623907248959792e-26j),0.993,1.999,0.964,0.002,0.057889199552854896,True,0.0016522476619755342
parar-rayos,0.996,0.018,0.022,1.012,0.145,0.134,0.15,0.137,(0.03865415096845039-1.1632227364026952e-25j),(0.03865415096845049+4.717514430966486e-25j),1.022,2.019,1.028,0.04,0.3110946118503063,False,0.013142321031739724
pata-palo,1.001,0.077,0.103,1.014,0.322,0.25,0.321,0.312,(0.08556480028677987+2.5849394142282115e-26j),(0.0855648002867799-2.0679515313825692e-25j),1.104,2.0,1.029,0.162,0.25030243207876857,False,0.019108746178961356
pasar-tiempo,1.007,0.038,0.078,1.006,0.282,0.274,0.278,0.139,(0.07238168470796072+5.492996255234949e-26j),(0.07238168470796097+1.4217166778255163e-25j),1.081,2.015,1.179,0.152,0.18841589327176805,True,0.006792420846742609
col-flor,0.996,0.0,0.016,0.987,0.068,0.013,0.231,0.01,(0.05861404537625185-7.754818242684634e-26j),(0.0586140453762518-5.169878828456423e-26j),1.175,1.975,0.99,0.018,0.11853424397100495,False,0.015074075090513232
salva-vidas,0.994,0.077,0.303,1.031,0.55,0.452,0.549,0.175,(0.14234004633884267+4.8467614016778965e-25j),(0.1423400463388432+1.550963648536927e-25j),1.296,2.016,1.385,0.532,0.3124737435642446,False,0.016100854725885544
limpia-parabrisas,1.004,0.011,0.013,1.005,0.114,0.114,0.112,0.098,(0.03154706558920053+5.169878828456423e-26j),(0.031547065589200535-8.804949879714845e-26j),1.014,2.009,1.032,0.025,0.2633216912650162,False,0.012675334126946138
rompe-olas,1.007,0.061,0.066,1.018,0.253,0.26,0.261,0.24,(0.09723233407555237-6.220010465486634e-26j),(0.09723233407555243+2.1971985020939798e-25j),1.08,2.012,1.099,0.135,0.4835282514009452,False,0.02863191907748013
caza-fantasmas,1.017,0.013,0.017,1.012,0.126,0.123,0.134,0.103,(0.03308884926718618-1.6802106192483375e-25j),(0.033088849267186235+4.200526548120844e-25j),1.042,2.05,1.044,0.032,0.24002171272878808,False,0.020144895970150175
cabeza-cuadrada,1.004,0.026,0.037,1.011,0.194,0.196,0.191,0.136,(0.054525583239211584+6.72084247699335e-25j),(0.05452558323921157-1.0985992510469899e-25j),1.038,2.007,1.098,0.075,0.3345318916796032,False,0.011821782802857032
luna-llena,0.997,0.02,0.052,0.997,0.226,0.153,0.227,0.13,(0.05703854973465991+1.2924697071141057e-25j),(0.05703854973465963-1.2795450100429647e-24j),1.049,1.995,1.04,0.077,0.45817590012719367,True,0.0050905794463281745
corre-caminos,1.004,0.527,0.714,1.008,0.846,0.842,0.847,0.631,(0.2311925728063757+3.360421238496675e-25j),(0.23119257280637656-3.360421238496675e-25j),1.719,2.009,1.745,1.421,0.559660388578724,True,0.005273217973443484
mano-negra,1.003,0.07,0.147,1.02,0.397,0.241,0.371,0.294,(0.11049778732507276-1.2924697071141057e-26j),(0.11049778732507236-1.2924697071141057e-26j),1.123,2.018,1.037,0.19,0.31967008147466125,False,0.018974842279162112
gato-hidráulico,1.01,0.002,0.003,1.015,0.054,0.06,0.059,0.026,(0.01744304955766788-2.5849394142282115e-26j),(0.017443049557667827+1.2924697071141057e-25j),1.019,2.031,1.051,0.007,0.12475562106759114,False,0.016600256436484884
quita-nieves,1.001,0.004,0.007,1.0,0.089,0.061,0.079,0.063,(0.022492592191489177+1.8740810753154533e-25j),(0.022492592191489177-2.261821987449685e-25j),0.998,1.998,1.002,0.01,0.13623048079251626,True,0.002542196397170721
porta-folio,0.997,0.012,0.026,1.002,0.161,0.161,0.159,0.074,(0.04078633919007116-2.8434333556510326e-25j),(0.04078633919007146-9.04728794979874e-26j),1.02,1.994,1.101,0.051,0.11238220411366555,False,0.03266657329894416
espanta-pájaros,1.009,0.072,0.081,1.025,0.292,0.286,0.279,0.256,(0.0753769688197284+2.0679515313825692e-25j),(0.07537696881972827-9.04728794979874e-26j),1.077,2.048,1.127,0.156,0.41570618177589014,False,0.03581919233591902
tela-araña,0.993,0.0,0.0,0.995,0.02,0.022,0.022,0.02,(0.008370306740509193+1.1309109937248425e-26j),(0.008370306740509176-1.8175355256292112e-27j),0.995,1.999,0.996,0.001,0.20752194412684946,False,0.016851476973398102
cuelga-muros,1.001,0.177,0.215,0.996,0.466,0.394,0.461,0.447,(0.11761577141694393+2.6253290925755273e-26j),(0.11761577141694365+2.7788098702953273e-25j),1.211,1.991,1.12,0.366,0.5453506260295197,True,0.007739127058871689
corta-fuegos,1.007,0.139,0.13,1.0,0.359,0.371,0.366,0.373,(0.10370562897411431-8.724170523020214e-26j),(0.1037056289741143+7.916376956073898e-26j),1.145,2.014,1.136,0.27,0.39937987322497126,False,0.01910781809652762
lava-vajillas,1.014,0.005,0.004,0.992,0.048,0.067,0.08,0.075,(0.02095956487355164+8.885729236409477e-27j),(0.020959564873551752-1.6802106192483375e-25j),1.05,1.965,0.989,0.011,0.024664592529662133,False,0.018278164437880867
caza-mariposas,1.012,0.252,0.488,0.991,0.713,0.519,0.693,0.482,(0.1776474346051624+4.782137916322191e-25j),(0.17764743460516225+5.573775611929581e-26j),1.48,1.982,1.28,0.763,0.43705593323298125,False,0.020221551362727387
pez-globo,1.013,0.062,0.083,1.014,0.29,0.29,0.29,0.216,(0.07274307063059142-1.9387045606711586e-25j),(0.07274307063059171+1.3053944041852468e-24j),1.096,2.026,1.15,0.166,0.41411064594192903,False,0.015092497903327628
cine-mudo,0.997,0.942,0.99,1.002,0.993,0.995,0.994,0.948,(0.3353698537475076-8.788794008375919e-25j),(0.3353698537475084+3.42504472385238e-25j),1.988,1.995,1.989,1.983,0.7890742747894333,True,0.006571012502599073
rey-mago,1.022,0.005,0.006,1.049,0.088,0.059,0.066,0.09,(0.0229046787869194-9.693522803355793e-27j),(0.022904678786919264+6.462348535570529e-27j),1.005,2.07,1.024,0.007,0.13722561980963982,False,0.03479130765105938
ratón-pérez,1.006,0.002,0.004,1.009,0.056,0.05,0.066,0.048,(0.016648187457988253-1.9387045606711586e-26j),(0.01664818745798819-5.816113682013476e-26j),1.02,2.016,1.012,0.007,0.1786771650423966,True,0.008882796460855862
reloj-arena,1.001,0.005,0.005,1.004,0.072,0.068,0.072,0.072,(0.01815503471071291+7.754818242684634e-26j),(0.018155034710712795-1.6155871338926322e-26j),1.006,2.007,1.004,0.01,0.18639179373938633,True,0.004215641423899382
luna-miel,1.0,0.0,0.0,1.001,0.022,0.001,0.001,0.02,(0.006211753482693117+3.2311742677852644e-27j),(0.006211753482693113-1.6155871338926322e-27j),0.979,2.001,0.982,-0.0,0.0580700719644589,True,0.0013495464072511964
casa-rural,0.999,0.167,0.212,1.0,0.464,0.389,0.455,0.429,(0.11743784270540915-1.906392817993306e-25j),(0.11743784270540945-9.855081516745056e-26j),1.202,1.994,1.128,0.358,0.20847182441900294,True,0.004432578119446593
perro-guía,1.023,0.048,0.054,1.022,0.236,0.239,0.235,0.204,(0.060688228414900444+2.3426013441443167e-26j),(0.06068822841490053-9.04728794979874e-26j),1.076,2.05,1.105,0.109,0.3275724362503172,False,0.03145981587076746
botón-rojo,0.997,0.05,0.067,1.003,0.258,0.239,0.26,0.211,(0.06543781845855201+1.2924697071141057e-25j),(0.06543781845855176+4.0389678347315804e-26j),1.067,2.007,1.081,0.125,0.3755886234570931,True,0.009353462078550506
lámpara-genio,1.006,0.114,0.14,1.008,0.372,0.303,0.378,0.379,(0.10051073991194526+4.652890945610781e-25j),(0.10051073991194556-5.169878828456423e-26j),1.152,2.015,1.047,0.228,0.3022739612383336,False,0.034437722157263345
bandera-blanca,1.003,0.526,0.71,1.013,0.897,0.589,0.794,0.906,(0.24190309595185494+2.7788098702953273e-25j),(0.2419030959518546-8.43336483891954e-25j),1.61,2.005,1.223,0.902,0.5346095360110704,False,0.018432645514712038
