Word Pair,Concept,a_in_A & b_in_B (Entangled 1),a_in_A & b_in_B (Entangled 2),a_in_B & b_in_A (Entangled 1),a_in_B & b_in_A (Entangled 2),a_in_A & b_in_A (Entangled 1),a_in_A & b_in_A (Entangled 2),a_in_B & b_in_B (Entangled 1),a_in_B & b_in_B (Entangled 2),QcorrelationAB,QcorrelationBA,CHSH Conf. 1,CHSH Conf. 2,CHSH Conf. 3,CHSH Conf. 4,Cosine Similarity,CHSH Violation,Max Violation
pato-plástico,pato de goma,0.999,0.0,0.0,0.999,0.017,0.017,0.023,0.023,(0.0083531805512128+3.877409121342317e-26j),(0.008353180551212818-6.462348535570529e-26j),1.005,1.997,0.992,0.001,1.0,True,0.0009580936615187217
salta-monte,saltamontes,1.0,0.0,0.0,1.0,0.034,0.034,0.011,0.011,(0.009163033786756824-6.058451752097371e-27j),(0.009163033786756803-6.54312789226516e-26j),0.978,2.0,1.023,0.001,1.0,True,0.0003527401116326686
gil-pollas,gil pollas,0.999,0.0,0.0,0.999,0.007,0.007,0.004,0.004,(0.0028235863248038395+3.715850407953054e-26j),(0.002823586324803825-5.654554968624213e-26j),0.996,1.999,1.003,0.0,1.0000000000000002,True,0.00105217625861679
buen-samaritano,buen samaritano,1.001,0.0,0.0,1.001,0.021,0.021,0.021,0.021,(0.005630744360861921-3.715850407953054e-26j),(0.005630744360861882-4.2005265481208437e-26j),1.002,2.002,1.001,0.001,1.0000000000000002,True,0.005108925010710305
lluvia-ideas,lluvia de ideas,1.001,0.0,0.0,1.001,0.001,0.001,0.001,0.001,(0.0002370603280359568-6.765271123175397e-27j),(0.0002370603280359559+1.1914955112458162e-26j),1.001,2.003,1.001,0.0,0.9999999999999999,True,0.0022975511035474945
inglaterra-arturo,rey arturo,0.995,0.033,0.033,0.995,0.18,0.18,0.18,0.18,(0.047153293289140925-1.0985992510469899e-25j),(0.04715329328914075+3.554291694563791e-26j),1.028,1.99,1.028,0.065,1.0000000000000002,True,0.0030788850038183835
abre-latas,abrelatas,0.999,0.009,0.009,0.999,0.094,0.094,0.097,0.097,(0.025039881383075568+1.1955344790805478e-25j),(0.025039881383075654-2.5849394142282115e-26j),1.011,1.998,1.005,0.018,1.0,True,0.002688324629788505
corta-uñas,corta uñas,0.999,0.867,0.867,0.999,0.94,0.94,0.921,0.921,(0.24611008597595307-1.1309109937248425e-26j),(0.24611008597595185+5.977672395402739e-26j),1.847,1.999,1.885,1.733,1.0000000000000002,True,0.004992879858871322
sangre-azul,sangre azul,1.0,0.0,0.0,1.0,0.01,0.01,0.009,0.009,(0.0046326752140987745-2.261821987449685e-26j),(0.004632675214098773+1.9387045606711586e-26j),1.0,2.0,1.0,0.0,1.0,True,0.0033228061869041204
corazón-partido,corazón partido,1.0,0.0,0.0,1.0,0.001,0.001,0.001,0.001,(0.0002606300679881432+1.857925203976527e-26j),(0.0002606300679881457+0j),1.0,1.999,1.0,0.0,0.9999999999999999,True,0.0013664947218614864
