"","word","h","h_dec"
"1","mundo",0.871075001292413,8
"2","drama",0.877891885569811,8
"3","modo",0.902974996307119,10
"4","ficción",0.824862227144317,5
"5","representar",0.892656600047518,9
"6","obra",0.849155416014586,6
"7","teatro",0.85113720549764,6
"8","término",0.90115580165868,10
"9","provendr",0.905981178475078,10
"10","griego",0.891637003242364,9
"11","significar",0.902410348460443,10
"12","acción",0.881587483934907,9
"13","deriva",0.903841218260958,10
"14","verbo",0.878236101741799,8
"15","d",0.806939797603453,4
"16","hacer",0.9027131047572,10
"17","actuar",0.899443826264658,10
"18","puesta",0.908616398791427,10
"19","escena",0.881226759477229,9
"20","realizar",0.860457770272775,7
"21","actor",0.833005875005393,5
"22","escenario",0.888370641093816,9
"23","frente",0.859816399606388,7
"24","audiencia",0.874038731956608,8
"25","presuponer",0.89467054496639,10
"26","adopción",0.887273982616658,9
"27","colaborar",0.900800412701538,10
"28","producción",0.873119843845523,8
"29","forma",0.874887098827686,8
"30","colectiva",0.89418396773945,10
"31","recepción",0.897912532888383,10
"32","diferencia",0.890960971078968,9
"33","formas",0.892096607465346,9
"34","literatura",0.805204579054985,4
"35","estructura",0.899671079052942,10
"36","dramático",0.896949699243278,10
"37","texto",0.882526742945374,9
"38","encontrar",0.875160020422184,8
"39","directa",0.909313761270936,10
"40","influencia",0.902392807226313,10
"41","tragedia",0.887654183675573,9
"42","comienzos",0.899697026563784,10
"43","edad",0.855305924029104,7
"44","moderno",0.893089665707793,10
"45","clásico",0.886612587182307,9
"46","ateniense",0.846533377569103,6
"47","c",0.895742932655775,10
"48","sófocles",0.709270129945515,1
"49","son",0.891657569287186,9
"50","mejor",0.868936970814411,8
"51","obras",0.84257720696498,6
"52","arte",0.813323510243695,4
"53","ejemplo",0.897281062198381,10
"54","largo",0.898095725933491,10
"55","viaje",0.876997551922527,8
"56","noche",0.843259879511093,6
"57","considerado",0.911987832893251,10
"58","género",0.862425359792358,7
"59","poesía",0.824683403357955,5
"60","contrastar",0.909807055190181,10
"61","épico",0.877115448466355,8
"62","lírica",0.851058747314262,6
"63","comenzar",0.860254014962908,7
"64","antigua",0.884804302600209,9
"65","teoría",0.886056620850185,9
"66","uso",0.868045375548806,7
"67","sentido",0.884805029016788,9
"68","estricto",0.904699942493011,10
"69","utilizar",0.857081495325739,7
"70","referencia",0.906079644165913,10
"71","tipo",0.864401006302383,7
"72","específico",0.900655964238422,10
"73","siglo",0.816444070052442,4
"74","xix",0.782155010923106,3
"75","referir",0.906083789063218,10
"76","comedia",0.814816086057628,4
"77","grecia",0.861011918421796,7
"78","abarcar",0.906687759416285,10
"79","tragedias",0.875912975608598,8
"80","intermedia",0.904946941154827,10
"81","combinado",0.910423634865035,10
"82","elemento",0.898443347576833,10
"83","música",0.811639091638191,4
"84","danza",0.862759662581436,7
"85","ópera",0.858772514218097,7
"86","totalidad",0.905121817162264,10
"87","cantado",0.862677998538222,7
"88","musical",0.829978066639765,5
"89","parte",0.887814946822409,9
"90","contener",0.902957513908018,10
"91","diálogo",0.8724415994884,8
"92","hablado",0.899114469317857,10
"93","comer",0.911452125246819,10
"94","canción",0.766922296388403,2
"95","incluir",0.868165418872068,7
"96","incidental",0.753339237158908,2
"97","acompañamien",0.883240781910556,9
"98","acompañar",0.90245258388272,10
"99","reforzar",0.905531860201105,10
"100","melodrama",0.844003134001922,6
"101","japona",0.900517039170296,10
"102","cierta",0.857872384670502,7
"103","periodo",0.893577281453938,10
"104","histórico",0.893948292306866,10
"105","romanticis",0.869791247806818,8
"106","ir",0.90431777374386,10
"107","escrito",0.886708956074493,9
"108","leída",0.868492623767919,8
"109","veces",0.884886993545619,9
"110","puestos",0.893760927411193,10
"111","improvisación",0.890324665909249,9
"112","existir",0.856222665346346,7
"113","previo",0.909353073191331,10
"114","crean",0.89728138800654,10
"115","desarrollar",0.886050736263063,9
"116","argumento",0.898699062598486,10
"117","manera",0.860148094484057,7
"118","espontánea",0.890242736556699,9
"119","origen",0.897859847202419,10
"120","fenicio",0.741542699018276,2
"121","historiador",0.870068830923425,8
"122","proponer",0.901017287701577,10
"123","diferente",0.869895203864339,8
"124","basada",0.899801993732217,10
"125","hecho",0.868082079696594,7
"126","alfabeto",0.852556625369919,6
"127","igual",0.8933360770768,10
"128","hebreo",0.788989605507993,3
"129","carecer",0.903987843808085,10
"130","vocal",0.883776270436367,9
"131","arameo",0.759080580915955,2
"132","norte",0.860987365550406,7
"133","denominación",0.89381092720122,10
"134","tomar",0.864443146511911,7
"135","llegar",0.882975046842454,9
"136","península",0.869298099241541,8
"137","ibérico",0.868865268731081,8
"138","bordear",0.865609516947339,7
"139","costa",0.862148227267521,7
"140","africano",0.877099651093142,8
"141","ver",0.880711851903439,8
"142","ruta",0.870631781511761,8
"143","i",0.692231127121897,1
"144","ya",0.896648746590936,10
"145","tierra",0.856690582252018,7
"146","gramática",0.836021128046342,5
"147","elemental",0.892074473808341,9
"148","raíces",0.909189229523279,10
"149","forjar",0.894731777007735,10
"150","batir",0.8910409443637,9
"151","metal",0.890960246859349,9
"152","aparte",0.905546041578048,10
"153","aceptar",0.895487603589726,10
"154","significado",0.891626757270912,9
"155","preciso",0.902848500386982,10
"156","seguir",0.881095749414398,9
"157","objeto",0.904183127157555,10
"158","discusión",0.901429047700136,10
"159","historia",0.853056840181087,6
"160","diversa",0.908501452407555,10
"161","hipótesis",0.895124683375122,10
"162","similitud",0.899336219237283,10
"163","aparente",0.907198113124356,10
"164","relacionar",0.897418939233004,10
"165","principio",0.899589205114765,10
"166","edad_moderna",0.7515475177803,2
"167","línea",0.892495636543221,9
"168","autóctono",0.871654773447478,8
"169","deformación",0.875802459256996,8
"170","ciudad",0.845838177119567,6
"171","occidente",0.880408298049934,8
"172","principal",0.867978095971124,7
"173","romano",0.849093622499432,6
"174","dar",0.888247879158357,9
"175","nombre",0.852281375306948,6
"176","territorio",0.881198650739645,9
"177","posterior",0.911930305898603,10
"178","hispania",0.813156128287181,4
"179","poder",0.905675088182997,10
"180","euskera",0.866496491443637,7
"181","venir",0.854231106141952,6
"182","mar",0.831286797892362,5
"183","compuesto",0.903568440843764,10
"184","voces",0.881779954048117,9
"185","dividir",0.909323338845608,10
"186","partir",0.889126492565992,9
"187","respecto",0.902446082366187,10
"188","miguel_de_unamuno",0.82406435102011,5
"189","declar",0.899814470429626,10
"190","única",0.865337086670109,7
"191","dificultad",0.897676130407043,10
"192","encuentro",0.883841471389427,9
"193","paisano",0.880643385181506,8
"194","españa",0.875907014303259,8
"195","labio",0.877986334872456,8
"196","aludir",0.906142807944016,10
"197","posición",0.894560487268869,10
"198","tener",0.904212929883361,10
"199","classeuropa",0.848529209468666,6
"200","suponer",0.886417944996437,9
"201","derivación",0.853872766603752,6
"202","nombres",0.900099194359931,10
"203","rey",0.827779665979675,5
"204","legendario",0.891105993934263,9
"205","hijo",0.831726772870646,5
"206","hispano",0.892760669659093,10
"207","nieta",0.869115185876051,8
"208","respectivamen",0.917158447865764,10
"209","hércules",0.85480686103267,7
"210","comunismo",0.855199408277877,7
"211","paradigma",0.892686025125363,9
"212","caracterizado",0.907731668140589,10
"213","control",0.89826450322966,10
"214","planificar",0.899976787762361,10
